id,value
id_0,25.326107450995412
id_1,63.515251455603206
id_2,18.896888053625002
id_3,29.199515021876184
id_4,9.207688920390044
id_5,33.51912721020292
id_6,40.97787341222629
id_7,18.18573981385752
id_8,52.6845178974487
id_9,32.306145118117
id_10,38.44218823759251
id_11,58.998258793187915
id_12,35.42465247258626
id_13,41.68032295865293
id_14,26.426910675059826
id_15,12.980885070558271
id_16,52.01287852433209
id_17,23.946533475763587
id_18,18.303774978728846
id_19,19.351958585628303
id_20,15.896275544641966
id_21,31.436335451246645
id_22,39.25182244161358
id_23,11.178214618786788
id_24,61.221254401636585
id_25,45.76804693864844
id_26,29.005504525482404
id_27,6.1091058501301525
id_28,28.622205904256624
id_29,37.31298259577704
id_30,18.318071989403002
id_31,11.245570944668994
id_32,16.454661145856488
id_33,7.675719748506489
id_34,14.985189018508986
id_35,41.85149665115718
id_36,21.80074229532465
id_37,27.612506223631527
id_38,3.718252871957459
id_39,59.53622690717256
id_40,48.13531937438631
id_41,20.28961123042284
id_42,52.57284465835392
id_43,19.195920738167285
id_44,45.30944055373322
id_45,48.547395445927684
id_46,57.3371022849265
id_47,41.625267595408005
id_48,55.72370167196351
id_49,39.79387376873538
id_50,30.769438803028464
id_51,23.65357331937448
id_52,38.855263091934845
id_53,23.221006022725625
id_54,37.2748142391674
id_55,38.64425561806516
id_56,25.578717240234887
id_57,22.085900403823718
id_58,35.47174022046829
id_59,31.735776833576686
id_60,13.279837329851661
id_61,21.683639518958813
id_62,32.369085707776065
id_63,53.71073999917954
id_64,51.09276685542054
id_65,26.019214784006188
id_66,38.1653686769634
id_67,53.26509448803395
id_68,29.023940545243104
id_69,40.304146821328125
id_70,64.53252753107071
id_71,55.56112979845351
id_72,41.82323727551926
id_73,14.121209768966207
id_74,13.855161099748035
id_75,36.1994009583707
id_76,62.891526174952894
id_77,2.6185294778455592
id_78,40.73867956062759
id_79,42.36542626232375
id_80,7.790770053101927
id_81,22.762187089637877
id_82,5.385380114383983
id_83,30.42501668344086
id_84,8.69269523210827
id_85,5.5826937717335685
id_86,16.83620857373686
id_87,10.35449555343401
id_88,20.466618413264975
id_89,25.572634915984622
id_90,35.29539119924394
id_91,11.690156177191891
id_92,12.570565622662926
id_93,9.25341196338933
id_94,37.32441092026134
id_95,15.130503948532617
id_96,16.46095230172791
id_97,9.22489658587357
id_98,12.010281855673032
id_99,4.87578581193857
id_100,9.699171625606589
